en,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,None,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X
ADJ,352,8,38,13,1,42,518,69,74,0,12,151,0,0,129,2
ADP,13,254,19,2,13,6,55,1,140,2,2,0,0,1,229,0
ADV,57,27,360,11,10,2,95,5,98,0,12,1,0,5,82,1
AUX,0,0,3,54,0,0,3,0,14,0,0,0,0,0,25,0
CCONJ,0,5,138,3,243,0,1,0,141,0,0,0,0,2,2,1
DET,9,5,13,4,0,38,19,9,19,0,3,1,0,0,15,0
INTJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NOUN,77,16,12,4,0,13,3011,27,173,4,5,31,0,0,451,12
NUM,5,0,0,0,0,2,3,258,11,0,0,9,0,0,2,1
None,49,130,462,48,15,21,559,31,0,11,100,39,1,4,464,23
PART,2,6,23,22,0,0,1,0,2,0,0,0,0,0,20,0
PRON,1,1,1,1,0,7,36,0,184,0,535,5,0,0,5,2
PROPN,7,1,0,0,0,0,225,2,32,2,5,1178,0,0,14,127
PUNCT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SCONJ,2,57,8,2,0,0,3,0,16,0,0,0,0,10,22,1
SYM,0,0,0,0,1,0,2,25,1,0,0,0,0,0,0,0
VERB,40,16,25,37,0,2,131,0,185,1,0,0,1,0,1535,2
X,1,0,0,0,0,0,3,0,1,0,1,0,0,0,2,7
