en,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,None,PART,PRON,PROPN,SCONJ,SYM,VERB
ADJ,20.5,1.2,2.7,0.7,0.5,0.0,53.7,1.9,5.8,0.0,0.2,9.7,0.0,0.0,3.1
ADP,0.2,80.8,1.4,1.2,0.5,0.0,9.3,0.1,2.0,0.2,0.1,1.0,0.4,0.0,2.8
ADV,8.7,9.0,25.8,2.6,6.6,0.0,16.4,0.0,20.8,3.5,0.7,0.7,1.5,0.0,3.5
AUX,1.1,6.1,0.0,62.5,0.0,0.0,3.6,0.0,0.0,1.1,0.7,0.0,1.4,0.0,23.5
CCONJ,0.5,46.6,1.0,15.2,18.2,0.0,0.7,0.0,0.0,0.7,0.0,0.2,12.5,0.2,4.0
DET,3.9,40.0,3.1,1.6,1.0,25.7,14.3,0.3,3.1,0.3,3.4,2.1,0.3,0.0,1.0
INTJ,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOUN,0.6,0.1,0.4,0.1,0.1,0.0,89.2,0.0,4.9,0.3,0.1,2.5,0.1,0.0,1.6
NUM,0.6,0.0,0.0,0.0,0.0,0.0,6.2,77.2,13.6,0.0,0.0,0.6,0.0,0.0,1.9
None,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
PART,1.2,60.7,1.2,20.2,0.0,0.0,3.1,0.0,3.1,0.0,0.0,0.6,8.6,0.0,1.2
PRON,0.1,1.5,0.4,0.4,0.3,2.2,4.0,0.0,59.3,0.1,29.8,0.1,1.0,0.0,0.9
PROPN,0.1,0.0,0.0,0.0,0.0,0.0,23.8,0.0,2.0,0.0,0.0,74.1,0.0,0.0,0.0
PUNCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,0.0,0.0,0.0,16.7,0.0,0.0
SCONJ,0.8,30.2,3.1,6.2,0.8,0.0,16.3,0.0,1.6,5.4,0.0,0.0,34.9,0.0,0.8
SYM,0.0,0.0,0.0,0.0,0.0,0.0,76.9,7.7,15.4,0.0,0.0,0.0,0.0,0.0,0.0
VERB,1.6,1.5,0.2,4.1,0.0,0.0,16.9,0.0,16.9,0.1,0.0,0.4,0.1,0.0,58.1
X,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,27.3,0.0,0.0,54.5,0.0,0.0,0.0
