en,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,None,PRON,PROPN,SCONJ,SYM,VERB,X
ADJ,1032,17,55,0,0,2,172,1,96,1,17,0,0,50,2
ADP,14,395,23,0,1,4,24,0,31,1,1,1,0,22,0
ADV,40,34,431,1,5,6,38,1,78,5,0,5,0,20,0
AUX,0,0,2,4,0,0,0,0,8,0,0,0,0,77,0
CCONJ,1,4,14,0,483,0,1,0,58,0,1,0,1,0,0
DET,31,5,9,0,0,19,10,5,16,4,1,0,0,5,0
INTJ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NOUN,141,13,13,0,0,1,3404,11,158,11,17,0,5,61,1
NUM,8,1,0,0,0,11,23,381,5,1,2,0,0,1,0
None,55,28,70,3,52,5,162,3,0,57,3,0,0,170,2
PART,0,1,2,0,0,0,0,0,2,0,0,0,0,3,0
PRON,0,3,1,0,0,0,24,0,40,416,3,0,0,4,0
PROPN,80,4,0,0,0,0,390,4,23,5,1091,0,0,1,21
SCONJ,0,62,35,0,6,1,1,0,5,0,0,2,0,1,0
SYM,0,0,0,0,0,0,9,0,1,0,0,0,26,0,0
VERB,84,21,2,36,0,0,110,0,141,1,2,0,0,1559,0
X,1,0,0,0,0,0,3,0,0,0,3,0,0,0,6
