en,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,None,PART,PRON,PROPN,SCONJ,SYM,VERB,X
ADJ,1062,1,62,0,0,30,99,2,70,3,0,25,0,0,61,26
ADP,9,300,35,0,0,3,22,0,34,2,0,0,2,0,59,5
ADV,37,12,386,0,25,5,19,3,93,30,1,1,0,0,26,15
AUX,8,0,2,5,0,0,1,0,8,0,0,0,0,0,91,0
CCONJ,4,0,1,0,25,0,0,1,3,0,0,0,0,0,0,1
DET,36,1,14,0,0,31,6,10,9,8,2,0,1,0,4,1
INTJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NOUN,240,5,42,0,0,18,3109,5,181,0,10,120,1,5,62,32
NUM,27,0,5,0,0,1,25,230,10,0,1,0,0,0,0,8
None,102,44,90,1,10,38,387,6,0,27,61,32,1,0,177,15
PART,4,1,2,0,0,1,2,0,0,45,0,0,0,0,12,0
PRON,5,0,4,0,0,127,13,0,49,0,349,1,0,0,9,1
PROPN,149,0,0,0,0,5,132,0,26,0,0,1288,0,0,2,70
SCONJ,2,13,5,0,0,0,0,0,2,3,0,0,0,0,1,0
SYM,0,0,2,0,0,0,2,0,2,0,0,0,0,15,0,1
VERB,64,7,12,9,0,1,159,0,147,0,1,2,0,0,1546,1
X,4,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0
