en,ADJ,ADV,AUX,CCONJ,DET,NOUN,NUM,None,PART,PRON,PROPN,VERB,X
ADJ,13.2,3.4,0.0,0.0,3.6,56.0,1.7,5.9,0.2,0.3,12.6,3.0,0.0
ADP,2.1,3.6,0.0,0.0,0.2,28.8,0.0,55.5,1.3,0.2,1.5,6.8,0.0
ADV,8.2,35.1,0.2,2.9,1.0,24.2,0.2,21.1,1.7,0.8,0.3,4.4,0.0
AUX,8.1,0.0,27.3,0.0,0.0,7.1,0.0,41.4,1.0,0.0,0.0,15.2,0.0
CCONJ,5.3,0.0,0.0,50.0,2.6,5.3,0.0,31.6,0.0,0.0,2.6,2.6,0.0
DET,4.4,6.7,0.0,0.0,37.8,16.3,0.0,27.4,1.5,1.5,0.0,4.4,0.0
INTJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
NOUN,0.3,0.4,0.2,0.0,0.3,89.5,0.1,6.0,0.1,0.3,1.2,1.6,0.0
NUM,0.0,0.4,0.0,0.0,18.6,9.1,61.6,9.9,0.0,0.0,0.4,0.0,0.0
None,0.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
PART,24.6,3.5,0.0,0.0,0.0,0.0,0.0,15.8,5.3,0.0,0.0,50.9,0.0
PRON,0.6,0.2,0.2,0.0,3.9,3.9,0.0,42.4,0.0,47.5,1.2,0.0,0.0
PROPN,0.0,0.0,0.1,0.0,0.0,14.1,0.5,2.6,0.0,0.0,82.8,0.0,0.0
PUNCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
SCONJ,0.0,8.6,0.0,0.0,0.0,42.9,0.0,17.1,2.9,0.0,2.9,25.7,0.0
SYM,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERB,2.3,0.8,0.3,0.0,0.1,55.0,0.0,12.0,2.0,0.0,0.3,27.2,0.0
X,0.0,0.0,0.0,0.0,0.0,33.3,0.0,41.7,8.3,0.0,16.7,0.0,0.0
