en,acl,advcl,advmod,amod,appos,ccomp,compound,conj,fixed,flat,nmod,nsubj,nummod,obj,obl,parataxis,xcomp,Nodes collapsed,Other,MCOP_count,MCOP
acl,151,2,1,5,1,2,0,1,0,0,27,7,0,5,3,3,13,3,89,15,nmod+acl
advcl,11,68,2,0,0,9,0,11,0,0,2,0,0,1,22,4,2,2,79,6,xcomp+advcl
advmod,0,0,332,11,0,0,0,1,0,1,4,0,1,1,16,2,2,41,129,11,advmod+nummod
amod,29,0,8,893,4,4,0,1,0,5,60,4,7,1,3,0,0,76,77,18,det
appos,0,0,0,0,43,0,0,1,0,15,21,1,1,0,0,1,0,2,35,7,nmod+flat
ccomp,1,2,1,0,0,48,0,0,0,1,0,0,0,1,0,6,6,0,32,11,ccomp+xcomp
compound,0,0,2,244,7,0,4,3,0,48,173,0,10,2,4,0,0,167,97,22,nmod+nmod
conj,0,2,0,1,0,0,0,387,1,1,0,0,1,0,1,1,0,10,108,10,conj+conj
fixed,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,9,1,1,nmod+flat
flat,0,0,0,6,3,0,2,0,0,154,13,0,0,0,1,0,0,11,19,7,flat+flat
nmod,4,1,11,40,6,1,0,5,0,10,632,5,7,6,31,0,0,13,309,67,det
nsubj,1,1,1,1,0,0,0,1,0,0,14,829,0,22,26,0,0,17,261,49,nsubj+xcomp
nummod,0,0,1,10,0,0,0,0,0,1,3,0,153,0,1,0,0,16,4,1,compound+nummod
obj,1,0,4,4,0,1,0,0,0,0,58,27,0,393,62,0,3,37,106,26,iobj
obl,0,5,44,2,0,0,0,3,0,0,38,17,0,27,463,3,2,15,311,67,iobj
parataxis,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,41,0,0,22,2,acl+obl
xcomp,0,5,9,0,0,7,0,2,0,0,1,3,0,3,15,0,91,10,40,15,iobj
